pair_id,article_id,outlet_id,outlet,date,category,target_uid,target_full_name,target_group,target_bloc,role_bucket,match_type,rank,role(source/patient/agent),label(pos/neg/neu),held_seat,gov_tenure,surname_misattrib,disambig_drop,in_analysis,frame_conflict,frame_human_interest,frame_economic,frame_morality,frame_responsibility,dominant
3116954::PA267285,3116954,10,Les Echos,2024-08-29,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,2.2427703544801943e+18,agent,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119096::PA721908,3119096,10,Les Echos,2024-07-18,Politique,PA721908,Yaël Braun-Pivet,EPR,centre,plain,full_name,1.1902927612042392e+19,agent,pos,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119230::PA721202,3119230,10,Les Echos,2024-07-20,Politique,PA721202,Éric Coquerel,LFI-NFP,left,plain,surname_only,1.3468581818330677e+19,agent,pos,True,False,False,False,True,1.0,0.0,1.0,0.0,0.0,conflict
3119231::PA721908,3119231,10,Les Echos,2024-07-18,Politique,PA721908,Yaël Braun-Pivet,EPR,centre,plain,surname_only,2.896642255174835e+18,source,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119255::PA721024,3119255,10,Les Echos,2024-09-23,Société,PA721024,Anne Genetet,EPR,centre,source_like,full_name,1.26551392576088e+19,source,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119306::PA608416,3119306,10,Les Echos,2024-09-23,Politique,PA608416,Patrick Hetzel,DR,right,source_like,full_name,8.684445237060084e+18,source,neu,True,True,False,False,True,0.0,0.0,1.0,0.0,0.0,economic
3119378::PA722190,3119378,10,Les Echos,2024-07-22,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,7.705434129638457e+18,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119385::PA609332,3119385,10,Les Echos,2024-07-25,Politique,PA609332,Olivier Faure,SOC,left,plain,full_name,1.4096451868585157e+19,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3119389::PA722190,3119389,10,Les Echos,2024-07-30,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,5.892682863500119e+18,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3119465::PA759832,3119465,10,Les Echos,2024-09-21,Politique,PA759832,Agnès Pannier-Runacher,EPR,centre,plain,full_name,1.2243852557632145e+19,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119471::PA795050,3119471,10,Les Echos,2024-09-21,Politique,PA795050,Astrid Panosyan-Bouvet,EPR,centre,plain,full_name,4.165056841097071e+18,agent,neu,True,False,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3119492::PA719372,3119492,10,Les Echos,2024-09-22,Politique,PA719372,Guillaume Kasbarian,EPR,centre,plain,full_name,3.0398453815598013e+18,agent,pos,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3119519::PA719914,3119519,10,Les Echos,2024-09-22,Politique,PA719914,Geneviève Darrieussecq,DEM,centre,plain,full_name,8.772520684062901e+18,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119526::PA608416,3119526,10,Les Echos,2024-09-22,Politique,PA608416,Patrick Hetzel,DR,right,plain,full_name,1.2067722631985125e+19,agent,pos,True,True,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3119651::PA720614,3119651,10,Les Echos,2024-09-24,Politique,PA720614,Marine Le Pen,RN,far_right,patient_like,surname_only,2.8674356296836086e+18,agent,pos,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119657::PA720614,3119657,10,Les Echos,2024-09-29,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.6296041879104416e+19,patient,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3119658::PA720614,3119658,10,Les Echos,2024-09-05,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,1.2298136811967803e+19,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119664::PA722190,3119664,10,Les Echos,2024-09-21,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,7.501945560181885e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119664::PA267285,3119664,10,Les Echos,2024-09-21,Politique,PA267285,Laurent Wauquiez,DR,right,plain,surname_only,1.2844139221634076e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119667::PA720614,3119667,10,Les Echos,2024-09-02,Politique,PA720614,Marine Le Pen,RN,far_right,source_like,full_name,1.4207414972480104e+19,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3119687::PA330240,3119687,10,Les Echos,2024-09-22,Politique,PA330240,Éric Ciotti,UDDPLR,right,plain,full_name,1.7202867043512343e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119696::PA267285,3119696,10,Les Echos,2024-09-16,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,1.5475857043260674e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119730::PA720614,3119730,10,Les Echos,2024-09-25,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,6.518672603311274e+17,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119755::PA722190,3119755,10,Les Echos,2024-09-05,Politique,PA722190,Gabriel Attal,EPR,centre,source_like,full_name,7.828419756295447e+17,agent,pos,True,True,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3119757::PA720614,3119757,10,Les Echos,2024-09-08,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,2.6002439403062426e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119787::PA720614,3119787,10,Les Echos,2024-09-30,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,2.220319241800682e+18,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3119829::PA722190,3119829,10,Les Echos,2024-09-12,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.1470982482690234e+19,agent,pos,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3119847::PA267285,3119847,10,Les Echos,2024-09-06,Politique,PA267285,Laurent Wauquiez,DR,right,plain,full_name,1.509532746803701e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3120390::PA841207,3120390,10,Les Echos,2024-07-18,Politique,PA841207,Charles Alloncle,UDDPLR,right,plain,full_name,1.0226228132856752e+19,agent,neg,True,False,False,False,True,1.0,1.0,0.0,0.0,0.0,human_interest
3120816::PA759832,3120816,10,Les Echos,2024-10-18,Politique,PA759832,Agnès Pannier-Runacher,EPR,centre,plain,full_name,2.919892740573633e+18,agent,neu,True,True,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3121025::PA717161,3121025,10,Les Echos,2024-11-16,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,9.148522483067465e+17,patient,neg,True,False,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3121049::PA717161,3121049,10,Les Echos,2024-11-19,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,surname_only,6.230647545432059e+18,patient,neg,True,False,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3121049::PA722190,3121049,10,Les Echos,2024-11-19,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,6.62800972188809e+18,patient,neg,True,False,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3121457::PA719372,3121457,10,Les Echos,2024-10-21,Politique,PA719372,Guillaume Kasbarian,EPR,centre,plain,full_name,3.9360673296378916e+18,source,neu,True,True,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3122279::PA719472,3122279,10,Les Echos,2024-11-21,Politique,PA719472,Jean-René Cazeneuve,EPR,centre,plain,full_name,1.0394723506020233e+19,agent,pos,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3124141::PA722252,3124141,10,Les Echos,2024-12-19,Société,PA722252,Marie-Pierre Rixain,EPR,centre,source_like,full_name,1.3419668340654795e+19,source,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3124489::PA795884,3124489,10,Les Echos,2024-10-14,Économie,PA795884,Marc Ferracci,EPR,centre,plain,full_name,1.635323548270229e+19,patient,neg,True,True,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3124500::PA720614,3124500,10,Les Echos,2024-09-29,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.2069493269752592e+19,patient,neg,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,responsibility
3127275::PA720614,3127275,10,Les Echos,2024-11-13,International,PA720614,Marine Le Pen,RN,far_right,plain,full_name,4.433079028199133e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3128260::PA720614,3128260,10,Les Echos,2024-10-17,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,3.669025389436855e+17,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3129694::PA642725,3129694,10,Les Echos,2024-10-22,Politique,PA642725,Eric Liégeon,DR,right,plain,full_name,1.5542796955199617e+19,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130033::PA841419,3130033,10,Les Echos,2024-10-24,Économie,PA841419,Damien Girard,ECOS,left,source_like,full_name,8.828144790803633e+18,source,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130050::PA840979,3130050,10,Les Echos,2024-10-28,Politique,PA840979,Corentin Le Fur,DR,right,plain,full_name,1.0038828113429217e+19,agent,pos,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3130116::PA717161,3130116,10,Les Echos,2024-12-24,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,1.1916795901668233e+19,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130127::PA717161,3130127,10,Les Echos,2024-12-24,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,1.60506522665666e+19,source,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130191::PA720614,3130191,10,Les Echos,2024-12-05,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,9.75491938679915e+18,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130283::PA717161,3130283,10,Les Echos,2024-12-26,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,surname_only,1.3912874529297256e+19,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130366::PA717161,3130366,10,Les Echos,2024-12-23,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,4.3734159387208576e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130411::PA720614,3130411,10,Les Echos,2024-12-01,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,3.3164695359118966e+18,source,pos,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130433::PA609332,3130433,10,Les Echos,2024-12-11,Politique,PA609332,Olivier Faure,SOC,left,plain,full_name,1.623341496238336e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130493::PA720614,3130493,10,Les Echos,2024-12-04,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,9.677959802104186e+17,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130537::PA722190,3130537,10,Les Echos,2024-12-08,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.5187525849156764e+19,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130551::PA720614,3130551,10,Les Echos,2024-12-02,Politique,PA720614,Marine Le Pen,RN,far_right,source_like,surname_only,4.831171613413117e+18,source,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130565::PA720614,3130565,10,Les Echos,2024-12-18,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,3.949071614469662e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130590::PA720614,3130590,10,Les Echos,2024-12-16,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,8.891811162647922e+18,source,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130612::PA720614,3130612,10,Les Echos,2024-12-02,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,3.901227154863074e+18,agent,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3130621::PA722190,3130621,10,Les Echos,2024-11-12,Société,PA722190,Gabriel Attal,EPR,centre,plain,full_name,7.344306178763744e+18,patient,neg,True,False,False,False,True,1.0,0.0,1.0,0.0,1.0,conflict
3130680::PA722190,3130680,10,Les Echos,2024-11-07,Société,PA722190,Gabriel Attal,EPR,centre,plain,full_name,2.2909085897130127e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
3130825::PA720614,3130825,10,Les Echos,2024-11-29,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,6.81276256381045e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130850::PA1654,3130850,10,Les Echos,2024-11-28,Politique,PA1654,François Hollande,SOC,left,plain,surname_only,1.2299799588776952e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130856::PA720614,3130856,10,Les Echos,2024-11-17,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,9.698190095399811e+18,agent,neg,True,False,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3130869::PA720614,3130869,10,Les Echos,2024-11-25,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,9.526715002430872e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130888::PA720614,3130888,10,Les Echos,2024-11-24,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.2600790776220467e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130890::PA267285,3130890,10,Les Echos,2024-11-12,Politique,PA267285,Laurent Wauquiez,DR,right,plain,surname_only,1.542539593905327e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130894::PA1654,3130894,10,Les Echos,2024-11-07,Politique,PA1654,François Hollande,SOC,left,plain,surname_only,1.7159789172418173e+19,agent,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130922::PA720614,3130922,10,Les Echos,2024-11-28,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.2059014515989064e+19,patient,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3130933::PA720614,3130933,10,Les Echos,2024-11-20,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.1600199563242619e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3130972::PA720614,3130972,10,Les Echos,2024-11-26,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,6.958989119508388e+18,patient,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130973::PA720614,3130973,10,Les Echos,2024-11-27,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.1090933000370014e+19,patient,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,conflict
3130974::PA720614,3130974,10,Les Echos,2024-11-14,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,5.511199771860954e+18,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3130976::PA720614,3130976,10,Les Echos,2024-11-13,Politique,PA720614,Marine Le Pen,RN,far_right,source_like,full_name,1.0578465206226563e+19,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3130991::PA720614,3130991,10,Les Echos,2024-11-14,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.0301454734789782e+19,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3130997::PA722190,3130997,10,Les Echos,2024-11-08,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,7.164093703543371e+18,agent,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3131108::PA722142,3131108,10,Les Echos,2024-11-28,Économie,PA722142,François Ruffin,ECOS,left,source_like,full_name,5.126872230118289e+18,patient,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3131690::PA1654,3131690,10,Les Echos,2024-10-22,Politique,PA1654,François Hollande,SOC,left,plain,full_name,7.086673148042639e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3131695::PA720614,3131695,10,Les Echos,2024-10-12,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,9.570976348935164e+18,patient,neg,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,none
3131701::PA722190,3131701,10,Les Echos,2024-10-09,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.461851988392856e+19,agent,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,0.0,economic
3131740::PA722190,3131740,10,Les Echos,2024-10-21,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,9.340127994688432e+18,patient,neu,True,False,False,False,True,0.0,1.0,0.0,0.0,0.0,human_interest
3131747::PA722190,3131747,10,Les Echos,2024-10-11,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.3319768266859463e+19,agent,pos,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3131756::PA722190,3131756,10,Les Echos,2024-10-08,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,1.331202758928324e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3131756::PA717161,3131756,10,Les Echos,2024-10-08,Politique,PA717161,Élisabeth Borne,EPR,centre,plain,surname_only,2.551230653346294e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3131788::PA722190,3131788,10,Les Echos,2024-10-07,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,1.8198944523725531e+19,agent,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,1.0,conflict
3131797::PA720614,3131797,10,Les Echos,2024-09-30,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,3.0925520700188595e+18,agent,pos,True,False,False,False,True,0.0,1.0,0.0,0.0,0.0,conflict
3131800::PA719938,3131800,10,Les Echos,2024-10-13,Politique,PA719938,Marc Fesneau,DEM,centre,plain,full_name,8.533054569212091e+17,source,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,responsibility
3131818::PA720614,3131818,10,Les Echos,2024-10-16,Politique,PA720614,Marine Le Pen,RN,far_right,plain,full_name,1.4027612514232236e+19,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3131846::PA267285,3131846,10,Les Echos,2024-10-02,Politique,PA267285,Laurent Wauquiez,DR,right,plain,surname_only,1.492742235112805e+19,agent,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
3131853::PA267285,3131853,10,Les Echos,2024-10-16,Politique,PA267285,Laurent Wauquiez,DR,right,plain,surname_only,4.523543723213638e+18,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
3132344::PA795884,3132344,10,Les Echos,2024-10-14,Politique,PA795884,Marc Ferracci,EPR,centre,plain,full_name,7.861246365913964e+18,agent,pos,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
3132556::PA720614,3132556,10,Les Echos,2024-11-22,Politique,PA720614,Marine Le Pen,RN,far_right,plain,surname_only,3.379243922892697e+18,patient,neg,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
1774354::PA722190,1774354,10,Les Echos,2025-11-13,Politique,PA722190,Gabriel Attal,EPR,centre,plain,full_name,1.6363646986241978e+19,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
1774411::PA722190,1774411,10,Les Echos,2025-10-28,Politique,PA722190,Gabriel Attal,EPR,centre,plain,surname_only,1.5234208375580103e+19,agent,neu,True,False,False,False,True,1.0,0.0,0.0,0.0,0.0,conflict
2071467::PA942,2071467,10,Les Echos,2025-01-29,Politique,PA942,Charles de Courson,LIOT,centre,plain,full_name,9.82380751745384e+18,source,neu,True,False,False,False,True,0.0,0.0,1.0,0.0,1.0,economic
2072396::PA605782,2072396,10,Les Echos,2025-01-03,Politique,PA605782,Laurent Marcangeli,HOR,centre_right,plain,full_name,2.591325958519719e+18,agent,pos,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
2101390::PA841927,2101390,10,Les Echos,2025-01-28,Politique,PA841927,Anne-Sophie Ronceret,EPR,centre,plain,full_name,6.677062709485715e+18,agent,neu,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,none
2105390::PA717161,2105390,10,Les Echos,2025-01-04,Société,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,1.6217277297118372e+19,patient,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
2105423::PA717161,2105423,10,Les Echos,2025-01-06,Société,PA717161,Élisabeth Borne,EPR,centre,plain,full_name,7.725313929039727e+18,agent,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,responsibility
2106413::PA605782,2106413,10,Les Echos,2025-01-21,Politique,PA605782,Laurent Marcangeli,HOR,centre_right,plain,full_name,8.293228867631735e+18,patient,neu,True,True,False,False,True,0.0,0.0,0.0,0.0,0.0,none
2106420::PA609332,2106420,10,Les Echos,2025-01-09,Politique,PA609332,Olivier Faure,SOC,left,plain,full_name,3.4602633529988357e+18,source,neu,True,False,False,False,True,1.0,0.0,1.0,0.0,0.0,conflict
