pair_id,paraphrased_label
4557828::PA721908,neu
232178::PA720614,neu
1673954::PA722190,neg
1788108::PA791812,neu
1078911::PA721202,neg
225902::PA721202,pos
589070::PA795176,neu
1915993::PA721202,neu
2349949::PA720614,neg
4562541::PA795318,neu
4375538::PA720614,neu
1639790::PA841207,neu
1202511::PA722150,neu
1182077::PA795318,neg
4685945::PA330240,neu
5042958::PA794322,neu
1709475::PA721202,neu
22349::PA720614,neu
1610858::PA791812,neu
1837246::PA793464,pos
2176634::PA717379,pos
2629528::PA1654,neu
252569::PA720614,neu
594604::PA791812,neu
4716467::PA842105,neu
594507::PA842155,neg
594757::PA793444,neu
1727725::PA793444,neu
1181987::PA722142,neu
1231465::PA720468,neu
4573603::PA720614,neg
2786920::PA793464,neg
2407569::PA795722,neu
4718391::PA795318,neu
32387::PA841067,neg
1625193::PA720614,neu
1832771::PA796090,neu
4475001::PA793432,neu
3544733::PA720614,neu
896028::PA794038,neu
1471001::PA720614,neu
1701213::PA609332,pos
4626873::PA722190,neu
189409::PA720614,neg
1181400::PA795912,neg
1237240::PA793444,neg
574439::PA609332,neg
1685781::PA719938,neu
894996::PA793464,neu
2669230::PA720614,neg
1912003::PA793464,neu
4653050::PA720614,neu
1780303::PA330240,neu
1802456::PA720614,neu
1694787::PA720614,neg
223730::PA720614,neu
2619158::PA609332,neu
1192446::PA793464,neu
4555336::PA722190,neu
4656074::PA721202,pos
3020277::PA1654,neu
4657395::PA722190,pos
593937::PA720614,neu
2033749::PA791812,neu
1184071::PA796034,neg
2723527::PA609332,neu
4584359::PA791812,neg
103140::PA842037,neu
1884682::PA720614,neu
589768::PA720614,neg
2345264::PA795350,neu
4563584::PA720892,neu
5022976::PA330240,neg
203571::PA267285,pos
893437::PA1654,neu
2623514::PA720038,neu
196810::PA720614,neg
1694756::PA720614,neu
978229::PA793342,neg
1192888::PA609332,neu
4698315::PA1654,neu
4413994::PA720614,neg
1766707::PA720614,neu
236355::PA720480,pos
1637266::PA721908,neu
958902::PA267285,neu
1816785::PA721202,neu
2256548::PA719938,neg
4565857::PA793398,neu
2357575::PA720614,neg
2787288::PA720614,neu
2531798::PA720614,neu
1673319::PA609332,pos
4559710::PA720614,neu
1688171::PA717161,neu
4632511::PA793444,neu
1825310::PA720614,pos
4718288::PA720614,pos
1215510::PA720614,pos
200132::PA720614,neg
2359256::PA609332,neg
1689085::PA267285,neu
895241::PA720614,neu
1538237::PA842105,neu
1181406::PA841381,neg
894994::PA722190,neu
589594::PA795912,pos
1841819::PA791812,neu
2544172::PA717161,neu
1039687::PA1654,neu
184647::PA720614,neg
2343743::PA796062,neg
2356447::PA793624,neu
1460679::PA717161,neg
2355639::PA330240,neu
4558339::PA719930,pos
2837667::PA794130,neu
1693806::PA720614,neu
4629973::PA346782,neu
1903367::PA1654,pos
2465791::PA795318,neu
1477120::PA722190,pos
1825448::PA795912,neu
4669089::PA841207,pos
2597943::PA721202,neg
2565067::PA720614,neg
2353805::PA795318,neu
1753842::PA721202,neu
4706234::PA720468,neu
3611452::PA267285,neu
2354875::PA793322,neu
3498325::PA1567,neu
3785698::PA793432,neu
595466::PA722190,neu
4564494::PA841207,neg
1163879::PA720038,neu
1238974::PA330240,neu
1748920::PA720614,pos
1238678::PA793464,neg
896319::PA720614,neu
2546216::PA720614,neu
1706548::PA794130,neg
1968371::PA793464,pos
4636810::PA330240,neg
2816128::PA722190,neu
1744364::PA794130,neu
2703784::PA1654,neu
2579754::PA795552,neu
1816574::PA841873,neu
4373810::PA330240,neu
4373143::PA721908,neu
4503883::PA330240,neg
2803189::PA720614,neu
546840::PA795912,neu
1182973::PA795974,neg
1944755::PA795228,neu
589104::PA795076,neu
2709915::PA722190,neu
4559729::PA267285,neu
2531256::PA795778,neu
3855457::PA609332,neu
1675953::PA330240,neg
1192888::PA1567,neg
2339219::PA719472,neu
4633750::PA791812,neg
4557094::PA721908,neu
4549229::PA720614,neu
1352325::PA1654,neu
531671::PA720614,pos
2008695::PA791812,neu
896065::PA717161,neu
1763470::PA720614,neu
2407745::PA330240,neu
4554474::PA720614,neu
2404081::PA795318,neg
1609822::PA842105,neg
896722::PA793464,neu
258130::PA720614,neg
1070244::PA722142,neu
1686743::PA267285,neu
1241920::PA796090,neg
955682::PA794598,neg
1941496::PA793464,neg
4724570::PA720892,neu
1675302::PA330240,neu
2407713::PA795912,neu
1764580::PA720614,neg
4590805::PA720614,neu
4617959::PA795552,neu
2600438::PA795746,neu
4677953::PA722190,neu
1749955::PA793464,neg
4879416::PA720614,neg
962893::PA717161,pos
1651390::PA720614,neu
1701857::PA609332,neu
594322::PA721908,neu
597995::PA267285,neu
468387::PA609332,neu
2405771::PA267285,neu
1782689::PA720614,neg
2610771::PA795318,neu
1234167::PA721908,neg
1673547::PA720614,neg
4498187::PA1654,neu
595041::PA794130,neg
4877877::PA720614,neg
12929::PA720614,neg
4372310::PA795466,neu
1181870::PA267285,neu
1638579::PA720614,neu
895450::PA267285,neu
1614957::PA842105,neu
2657357::PA609332,neu
2812922::PA267285,neu
4603149::PA719388,neu
4518952::PA793432,neu
1239737::PA1654,neu
2707316::PA721960,neu
2790340::PA720468,neu
77708::PA720614,neu
4682826::PA330240,neu
579185::PA722190,neu
1899007::PA794946,neu
1740684::PA267285,neg
1803003::PA720614,neg
1667833::PA1654,neu
547635::PA720614,neu
2504365::PA795778,neg
1693196::PA720614,neu
1602291::PA791812,neu
1182809::PA330240,pos
4393915::PA795596,neu
2716476::PA1654,neu
918009::PA720614,neg
589314::PA720614,neu
1240457::PA795778,neg
473029::PA720614,neu
1797707::PA720614,neg
2198622::PA720614,neg
1639244::PA330240,neu
3707160::PA720614,neg
208103::PA720614,neg
4583716::PA368,neu
1732420::PA720370,neu
1667112::PA720614,neu
2407366::PA720614,pos
594951::PA842155,neg
2346982::PA722142,neg
1832644::PA842105,neg
894727::PA609332,neu
1236421::PA720614,neg
425273::PA720614,pos
588571::PA267285,neu
1690715::PA267285,neg
2072396::PA605782,pos
2354472::PA793444,neu
1731741::PA840701,neu
1073667::PA793444,neu
1829117::PA720614,neu
1888198::PA720892,neu
2356992::PA795778,neu
1070704::PA795076,neu
593958::PA720614,neu
1231474::PA720892,neu
1366170::PA267285,neu
3708571::PA720614,neg
2350399::PA609332,neu
1350090::PA793444,neu
4659070::PA2940,neu
1693835::PA720614,neg
4718072::PA720614,neu
4620624::PA841207,neg
1323594::PA720614,pos
4549206::PA719930,neu
2169538::PA842105,neu
12974::PA720614,neg
4388788::PA720614,neg
4567166::PA841207,neu
1756061::PA791812,neu
2356230::PA720614,neu
1764667::PA720614,neu
2351060::PA721202,neu
1910730::PA842105,neu
3496374::PA791812,neu
215093::PA793624,pos
2196352::PA842105,pos
1484360::PA720614,neu
4566896::PA841207,neg
1244394::PA330240,neu
1739829::PA722142,neg
2600264::PA609332,neu
895141::PA609332,pos
1184145::PA721202,pos
2614109::PA720614,neg
1382658::PA720614,pos
1666327::PA720614,neg
3230652::PA793464,neu
895478::PA720614,neg
1695715::PA720614,neg
2204860::PA720614,neu
2694943::PA793624,neu
584418::PA267285,neg
896294::PA795722,neg
173668::PA841381,neg
921731::PA722190,pos
2549486::PA720614,neg
1754661::PA796090,neu
1735084::PA791812,neg
2350468::PA795164,neg
2302849::PA609332,neu
1451615::PA795318,neg
1667888::PA794130,neu
1182058::PA794718,neg
2349594::PA1654,neu
2607617::PA267285,neu
2694830::PA722190,neu
1858919::PA1567,neu
4767394::PA721908,neu
1386197::PA721764,neu
1665980::PA720614,neg
1674988::PA1567,neu
1182000::PA793246,neu
4441987::PA841199,neu
4389058::PA719930,neg
2564514::PA720614,pos
4568831::PA791812,pos
4782515::PA721908,neu
1702935::PA719930,pos
4690271::PA720614,neu
1954167::PA794598,neg
589597::PA720614,neg
1693630::PA720614,neg
1739758::PA720614,neu
1064841::PA721908,neu
3707527::PA720614,neg
1653587::PA720468,neu
191856::PA720614,pos
2399327::PA722190,neu
3761984::PA721908,neu
2356484::PA267285,neu
518183::PA793382,neg
4501199::PA717161,neu
210604::PA609332,neu
1181771::PA267285,neu
4391641::PA720614,neu
1612507::PA720468,neu
1960596::PA721202,neu
4376427::PA722190,pos
587094::PA720614,neg
4372576::PA793464,neu
257567::PA842105,neu
2883793::PA720614,neg
1181454::PA720614,neg
557884::PA1654,neg
1875159::PA1654,neu
2821621::PA795076,neu
1747096::PA720614,neg
2437163::PA722190,neu
1416110::PA1567,neu
1763567::PA793736,neu
1832742::PA720614,neu
1882764::PA720892,neu
3704181::PA720614,pos
118210::PA720614,neg
4572275::PA368,neu
3713315::PA720614,pos
166678::PA588884,neu
894528::PA795552,neu
2953137::PA793444,neu
2834654::PA842105,neg
2402579::PA720614,neu
4870865::PA267285,neg
2676306::PA719388,neu
895642::PA720614,neg
1474335::PA267285,neu
3241066::PA609332,neg
2174942::PA795466,neg
1817029::PA335612,neu
1051568::PA720614,neg
2728031::PA796062,neu
1662012::PA722190,neu
1652409::PA795746,neu
2403920::PA795778,neu
1839287::PA842155,neg
1741184::PA721024,neu
1666306::PA720614,neg
1670015::PA793464,neg
4878218::PA720614,neg
2357180::PA720614,neu
4373218::PA720614,neu
1811255::PA720038,neu
2787800::PA720614,neu
3796198::PA720468,neu
2714452::PA720614,pos
1915142::PA720614,neu
1693956::PA720614,neg
588466::PA720614,neu
1663587::PA721202,neu
1898433::PA330240,neu
2811206::PA793444,neu
1672511::PA795076,neu
2275823::PA609332,neu
198707::PA721202,neu
4511982::PA793444,neg
589214::PA842105,neu
4623609::PA791812,neg
1468193::PA722190,neu
2789876::PA720468,neu
2112674::PA722190,neu
2345263::PA330240,neu
593919::PA842105,neu
2951593::PA720614,neg
1051307::PA720614,neu
1699340::PA722190,neg
2231035::PA267285,neu
170698::PA841713,neu
1395946::PA720614,neu
4956565::PA795076,neg
97680::PA720614,pos
1788512::PA795912,neg
2703187::PA267285,neg
4876966::PA722190,neu
595531::PA609332,neg
4553558::PA267285,neu
131332::PA720614,neg
1241360::PA720892,neu
4555711::PA795046,neg
135801::PA720614,pos
4548821::PA722190,neu
2677978::PA722190,neu
4519259::PA720468,neu
1681746::PA795318,neu
251896::PA720614,neu
179387::PA267285,neu
4557820::PA793432,neu
4549021::PA721908,neu
4867274::PA795884,pos
2835075::PA721210,pos
4668005::PA330240,neu
2350722::PA720614,neu
1237222::PA267285,neu
2726285::PA720468,neu
203131::PA720614,neu
4661906::PA793394,neu
3496236::PA793464,neu
2345944::PA721202,neu
945132::PA720614,neg
2404168::PA720468,neu
4565551::PA330240,pos
1164092::PA795076,neg
589765::PA720614,neg
1226188::PA841327,neu
2349918::PA794598,neu
4376617::PA720614,pos
237944::PA791812,neg
1680875::PA840809,neg
4555049::PA267285,neu
1233597::PA795778,neu
4495387::PA793432,neu
4719051::PA720614,neu
2353706::PA795318,neu
1820370::PA791812,neu
1790129::PA842105,neu
1972449::PA842105,neg
3130976::PA720614,neg
1707830::PA720614,neu
1692613::PA720614,neu
2347424::PA795050,neu
4612248::PA795552,neu
594882::PA720614,neg
1673632::PA720614,pos
1826545::PA1567,neu
1919503::PA794598,neu
1922540::PA722190,neu
1183515::PA607193,neu
1676069::PA267285,neu
2029228::PA720614,neg
18154::PA720892,neu
1969723::PA609332,neg
1508302::PA720892,neu
2404160::PA720468,neu
2820010::PA720614,neg
4603641::PA605782,neu
1200952::PA720892,neu
4477267::PA1654,neu
1182929::PA722142,neu
2295357::PA795466,neu
896663::PA1654,neu
2607382::PA720614,neu
1798627::PA720614,neg
1384219::PA720614,neg
1693144::PA1567,neg
2834333::PA267285,neu
589024::PA791812,neu
1660859::PA721202,neu
896308::PA794130,neg
4372715::PA721202,neu
2359572::PA609332,neu
1350966::PA795318,neg
1766057::PA722190,pos
1673978::PA720614,neg
1733858::PA722190,neg
2820276::PA720614,neg
1733713::PA720614,neg
258713::PA1654,neu
4868649::PA795778,neg
1827477::PA841515,neu
2542564::PA793444,neu
594937::PA721908,neu
1821813::PA330240,neg
2016286::PA717161,neu
588411::PA609332,neg
2220690::PA795778,neu
4716916::PA720614,neu
1678896::PA719930,neu
1183649::PA793464,neg
1833626::PA720892,neu
1638877::PA721908,neu
1324738::PA795596,neu
4625380::PA720614,neu
1608445::PA712014,pos
4600748::PA794322,neu
1244163::PA721202,neu
2664190::PA609332,neu
2700264::PA720614,neu
1639462::PA267285,neg
1678733::PA720100,neg
1212941::PA720614,neu
595441::PA720614,neu
4443739::PA720614,neu
1489649::PA795318,neu
4604197::PA720468,neu
4706360::PA722190,neg
1676084::PA720614,neu
102255::PA720614,neu
2583135::PA267285,neg
2349535::PA795778,neu
73192::PA330240,neu
4909491::PA842155,neg
2350748::PA720614,neu
4598750::PA609332,pos
2359023::PA717379,neu
1699232::PA793444,neu
1715440::PA722190,neu
1181622::PA720614,neg
2354289::PA795552,neu
2815426::PA842105,neu
2357525::PA720614,neu
1366688::PA267285,neg
1405942::PA720614,neu
918388::PA721202,neu
2838438::PA720614,neu
2574679::PA720614,neu
3119664::PA722190,neg
132309::PA720614,neg
4390442::PA720614,neu
3119389::PA722190,neu
1695496::PA720614,neg
2725682::PA794008,neu
4495253::PA717161,neu
2564445::PA722190,neu
1239917::PA722142,neu
3743660::PA1654,neu
27928::PA722190,neu
1835211::PA795318,neu
2708097::PA794130,neg
537646::PA722190,neg
1901543::PA267285,neg
4569945::PA791812,neg
594232::PA1654,neg
2353591::PA1654,neg
4536404::PA1654,neu
1703249::PA720614,neg
895628::PA720614,neu
2353045::PA795076,neu
896834::PA717161,pos
589372::PA796062,neg
2315801::PA720614,neu
1509555::PA842155,neu
2348052::PA793444,neg
1788048::PA720614,neu
1834016::PA721202,neu
2589683::PA722190,neu
1675568::PA721202,pos
3131695::PA720614,neg
1785663::PA720614,neg
1822071::PA722190,neu
1232784::PA720614,neu
1947870::PA330240,pos
4733494::PA722142,neu
589359::PA795318,neu
1693865::PA720614,neg
1716669::PA795778,neu
180216::PA720468,pos
4370502::PA722142,neu
1212130::PA720614,neg
1182278::PA722190,pos
962807::PA720952,neg
1704919::PA720614,neu
1446417::PA795318,neg
1182136::PA1567,neg
2402281::PA795912,neu
2347649::PA794130,neg
4716846::PA841207,neu
1841388::PA1654,neu
4554452::PA267285,neu
1810068::PA609332,neu
4657300::PA791812,pos
1182085::PA793444,neu
594423::PA796062,neu
1686832::PA720614,neg
4725728::PA722142,neu
894977::PA720892,neg
125845::PA721908,neu
208146::PA720614,pos
1695062::PA720614,neg
3130888::PA720614,neg
1768838::PA720614,neu
525969::PA720614,neu
1655549::PA720614,neu
925827::PA720614,neg
594965::PA942,neg
2225799::PA793432,neg
2550618::PA795200,neu
1790115::PA842105,neu
15070::PA721908,neu
2354241::PA720892,neu
1690271::PA720614,neg
1182755::PA609332,neu
1728224::PA721210,neu
3703288::PA720614,neg
1767447::PA795318,neg
1693705::PA719930,neu
1813289::PA793464,neg
4624652::PA368,neu
4725917::PA330240,neg
1753907::PA720614,neg
2026343::PA842105,neu
1779923::PA793464,neg
4554476::PA720614,neu
5002294::PA722190,neu
4873667::PA841657,neu
169401::PA720614,neu
2626324::PA794778,neu
1773792::PA791812,neu
1739743::PA720614,neu
2197922::PA795528,neu
594398::PA717161,neg
2007145::PA720614,pos
467261::PA1654,neg
895523::PA720614,neg
93425::PA720614,neg
1469417::PA720892,neu
1342545::PA720892,neu
1982632::PA722190,neu
588771::PA793464,neg
1428973::PA720614,neg
2679730::PA791812,neg
4548964::PA720614,neu
2186639::PA719558,neu
2803074::PA720614,neg
1720880::PA791824,neu
4719882::PA721908,pos
4548712::PA720614,neu
1242211::PA330240,neu
2592569::PA722190,neu
180568::PA1654,neg
595568::PA720614,neg
4496116::PA721908,neu
960367::PA720614,neg
4389854::PA795528,neu
1376828::PA795778,neu
4717604::PA721908,pos
2344739::PA795318,neg
4562839::PA721908,neu
2793902::PA267285,neu
4549472::PA609332,neu
1793357::PA841717,neu
1997821::PA720892,neu
1182340::PA720892,neu
2619015::PA795778,neu
2306193::PA722150,neg
1710868::PA720614,neu
1605497::PA791812,neu
4893852::PA817203,neu
190391::PA720614,neu
2794380::PA795778,neu
1736510::PA795912,neu
1824424::PA721202,neu
543718::PA796062,neg
2796375::PA719938,neu
100759::PA720614,neg
1839241::PA791812,neu
2408994::PA722190,neu
4870263::PA267285,neu
1857280::PA267285,neu
174030::PA721908,neu
1351064::PA721908,pos
1491087::PA720614,neu
1747818::PA721202,neu
2673845::PA721908,pos
27059::PA719930,neu
2177658::PA720614,pos
2710968::PA330240,neu
259856::PA842271,pos
1675549::PA720614,neu
1656444::PA720892,neu
473394::PA717161,neu
4712510::PA722190,neu
1182768::PA720614,neg
4880177::PA722190,neu
4780787::PA793464,neu
595382::PA793444,neu
99210::PA721024,neu
4686053::PA722190,neu
2399259::PA720468,neu
896789::PA720614,neu
921715::PA721908,neu
4518948::PA720614,neu
2408553::PA330240,neg
3817959::PA609332,neu
1765241::PA720614,neg
2524132::PA720614,neg
1840447::PA1654,neu
4719943::PA841207,neg
2632126::PA793444,neu
1914076::PA721202,neu
1655101::PA720614,neg
4549272::PA609332,neu
1182911::PA267285,neu
2209238::PA720892,neu
4875327::PA721908,neu
1231921::PA330240,neu
1403339::PA841327,neu
3237537::PA720614,neu
2851844::PA1654,neu
4702709::PA720614,neg
263515::PA1654,neu
3822882::PA267285,neu
1471264::PA717161,neg
2528364::PA793624,neu
2977687::PA720614,neg
4531809::PA720614,neu
4695187::PA346782,neu
1908014::PA330240,neu
4627000::PA1654,neg
2796001::PA721908,neu
2258556::PA793444,neu
4509204::PA793464,neg
1806102::PA791812,neg
3227373::PA795318,neu
1795927::PA720614,pos
1723658::PA609332,neu
2729408::PA796078,neu
2226429::PA720468,neu
2556131::PA794008,neu
2619253::PA720892,neu
1842872::PA720614,neu
4698008::PA720614,neg
4684624::PA795076,neg
2712350::PA722142,neu
4686429::PA841207,neu
1830037::PA720146,neu
4559302::PA793444,neu
1410218::PA330240,neu
4719791::PA720614,neu
2347677::PA720892,pos
589173::PA1654,neu
1607885::PA722190,neg
1742637::PA720892,neu
4661957::PA791812,pos
4604660::PA720892,neu
2296862::PA346782,neu
1507549::PA330240,neu
117908::PA609332,neg
1219677::PA793464,neg
4719857::PA722142,neu
2674151::PA721202,pos
895953::PA721908,neu
589562::PA795746,neu
2819835::PA720614,pos
2354193::PA795318,neg
2820160::PA720614,neg
948405::PA267285,neg
1790596::PA842105,neg
4867982::PA720614,neu
945101::PA720614,neg
1428628::PA720614,pos
589744::PA720614,neg
2657502::PA795076,neu
1743217::PA721202,neu
526161::PA720614,neg
518524::PA720362,neu
2357724::PA720614,neu
2517406::PA793464,neg
2686707::PA720138,neu
4629223::PA720614,neg
2835346::PA722190,neg
589667::PA720614,neg
1182342::PA609332,neu
4554493::PA720614,neg
4592263::PA720614,neu
3491757::PA791812,neg
1702241::PA722190,neg
2692057::PA721202,neu
3507199::PA795912,pos
2820219::PA720614,neg
1467045::PA720614,neu
1781028::PA793432,neu
3819730::PA720468,neu
2350415::PA609332,neu
2973513::PA609332,neu
594679::PA841327,neu
4867143::PA720614,neu
251378::PA267285,neg
919522::PA720614,neu
1943672::PA842105,neu
4373142::PA791812,neg
4650165::PA720614,neu
4905341::PA841873,neu
4602740::PA794598,neu
4549547::PA609332,neu
1696013::PA720614,neg
1665695::PA720614,neu
2820041::PA720614,neg
2296579::PA267285,neu
2677522::PA610968,neu
4699927::PA720614,neg
1737153::PA722142,neu
1687828::PA1654,neu
4767147::PA720614,neg
2169241::PA721908,neu
3496888::PA609332,neu
421258::PA609332,pos
1237767::PA330240,pos
2006270::PA842155,neg
4608877::PA609332,neg
1737739::PA722142,neg
2733867::PA720614,neu
19354::PA719930,neu
896908::PA796034,neu
1624088::PA609332,neu
1678752::PA796090,neg
588548::PA791812,neu
1352655::PA795318,neu
2523677::PA720614,neu
1384316::PA720614,neg
4685990::PA791812,neg
1750545::PA609332,neu
2535::PA721024,neg
4389493::PA795778,neu
1182515::PA720614,neu
1804502::PA588884,neu
4599471::PA719372,neu
546680::PA720614,neg
2344760::PA722190,neu
4602515::PA719436,neu
4630747::PA720892,neu
1751572::PA722190,neg
2729964::PA793382,neu
1928084::PA720614,pos
1621680::PA720614,neu
2546926::PA720614,neu
2727445::PA795552,neu
4629131::PA720614,neu
4500502::PA721024,neu
3494937::PA791812,neu
588774::PA793444,neg
589745::PA720614,pos
3784240::PA795310,neu
4479091::PA795318,neg
4717983::PA793464,neg
4880026::PA720892,neg
4878001::PA720614,neu
2709296::PA826635,neu
1713350::PA720614,neu
1832138::PA791812,neu
1659507::PA719412,neg
4613013::PA841207,pos
1659910::PA717161,neu
2315793::PA793444,neu
1454366::PA720614,neu
1214610::PA609332,neg
2005592::PA791812,pos
4480889::PA795912,neg
2231323::PA720614,neu
4510777::PA720614,neu
960032::PA720614,neu
3713336::PA720614,neg
896838::PA330240,neu
190080::PA267285,neg
2829916::PA720614,neu
4476991::PA720614,neu
2148944::PA719930,neu
1319083::PA721908,neu
1763843::PA721960,neg
905915::PA720614,neu
4577390::PA795596,neu
2398612::PA720892,neu
896821::PA720614,neu
4463879::PA794118,neu
12949::PA720614,neg
1915608::PA795596,neu
1726597::PA722190,neg
130844::PA721908,neu
3592039::PA720614,neu
1465022::PA722190,pos
1767777::PA267285,neu
4518259::PA795664,neu
547929::PA795076,neg
1676029::PA720614,neg
251623::PA795318,neu
4586830::PA720614,neu
2407759::PA795912,neu
4554609::PA267285,neu
1806277::PA720614,neg
1182269::PA267285,neu
4594315::PA842105,neu
1777471::PA720614,neg
2354361::PA795466,neg
2942494::PA720614,neu
4442436::PA722190,neu
3581331::PA795318,neu
1224521::PA717161,neu
2575969::PA720100,pos
4716565::PA1654,neu
2733234::PA721202,neu
594717::PA795778,neu
2198360::PA722142,neu
2408154::PA720614,neu
926458::PA720614,pos
2357835::PA795778,neu
2359699::PA267285,neu
2355209::PA795552,neu
3114682::PA267285,neg
2644091::PA722142,neu
1234718::PA793444,neu
2349221::PA720892,neg
1674088::PA720614,neu
4482854::PA822617,neg
895321::PA267285,neu
2008759::PA793464,neu
1808203::PA794322,neu
1221167::PA796078,neu
2196734::PA368,neu
1997669::PA795912,neu
4630407::PA720614,neu
23741::PA720614,neg
4868996::PA1654,pos
1693719::PA720614,neg
4867394::PA720614,pos
4658063::PA1654,neg
4374057::PA795076,neu
1455918::PA1654,neu
1412616::PA722190,neu
4868360::PA796062,neg
2404724::PA346782,neu
1464929::PA841845,neu
1463041::PA795318,neu
4511449::PA793756,neu
170429::PA841495,neg
896708::PA722142,neu
1678227::PA722190,neu
2959535::PA721202,neu
4613553::PA720614,neu
2137804::PA330240,neu
1536963::PA719930,neu
1690261::PA720614,neu
4608889::PA720846,neg
4549225::PA1567,neu
4921545::PA794598,neu
4517098::PA330240,neg
1624429::PA1654,neu
4719357::PA267285,neu
2345824::PA720614,neu
2353941::PA720614,neu
1709863::PA720614,neu
2720339::PA720614,neu
27788::PA795884,pos
2612509::PA720614,neg
4873100::PA793444,neg
1608951::PA794582,neg
4599034::PA794562,neu
2816450::PA795746,neu
12957::PA720614,pos
1747377::PA720614,neu
1181905::PA267285,neu
4611012::PA720614,neg
1690376::PA793872,neg
2359157::PA795778,neu
3119231::PA721908,neu
1429061::PA720614,pos
594817::PA720468,neg
1662940::PA842155,neu
4601127::PA793464,neg
594453::PA609332,neu
2680924::PA795200,neu
2699882::PA720614,neu
1606009::PA722190,pos
2357442::PA720614,neu
1435939::PA720614,neu
1658713::PA717161,neg
137102::PA794106,neg
1784490::PA842105,neu
1430469::PA720614,neu
3498330::PA1567,neu
1464650::PA720614,neg
896334::PA1654,neu
2000083::PA791812,neg
1182509::PA609332,neu
4922203::PA721908,neu
2356430::PA720614,neu
1990802::PA720614,neu
1752952::PA720614,neu
1389647::PA1567,pos
4474306::PA791812,neu
594152::PA267285,neu
4389849::PA719930,neg
220563::PA795778,neu
182895::PA720614,pos
1786679::PA722190,neu
1803916::PA721202,neu
1917142::PA720614,neu
4870405::PA720614,neg
1221879::PA795318,neg
2172791::PA719930,neu
2898350::PA330008,pos
1915297::PA720614,neu
4611344::PA793444,neu
2010987::PA720614,neu
1944516::PA841207,neu
1196891::PA721908,neu
4580400::PA722190,neu
4557523::PA719930,neu
1670341::PA795076,neu
1653303::PA794322,neu
