pair_id,outlet,target_bloc,sampling_side,label_with_group,label_without_group
195259::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
251642::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
251704::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
251838::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
251815::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
197264::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
251775::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
251927::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
258328::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
197505::PA720614,L'Humanité,far_right,right_or_far_right,pos,pos
3586994::PA330240,L'Humanité,right,right_or_far_right,neg,neg
3607980::PA330240,L'Humanité,right,right_or_far_right,neu,neu
3592497::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
251905::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
251620::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
252926::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
4480117::PA841207,L'Humanité,right,right_or_far_right,neg,neg
4576048::PA841207,L'Humanité,right,right_or_far_right,neg,neg
4567024::PA841207,L'Humanité,right,right_or_far_right,neg,neg
4566896::PA841207,L'Humanité,right,right_or_far_right,neg,neg
4560195::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
93252::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
93215::PA720614,L'Humanité,far_right,right_or_far_right,neg,neg
4479764::PA841207,L'Humanité,right,right_or_far_right,neu,neu
4478703::PA330240,L'Humanité,right,right_or_far_right,neu,neu
1794865::PA842155,Mediapart,left,left,neu,neu
1796895::PA842105,Mediapart,left,left,neg,neg
93165::PA330240,L'Humanité,right,right_or_far_right,neu,neu
93637::PA795552,L'Humanité,far_right,right_or_far_right,neu,neu
1882439::PA721210,Mediapart,left,left,neu,neu
575401::PA267285,L'Humanité,right,right_or_far_right,neg,neu
1878592::PA721202,Mediapart,left,left,neu,neu
1876657::PA1654,Mediapart,left,left,neg,neg
1886688::PA795318,Mediapart,left,left,neu,neu
1862506::PA1654,Mediapart,left,left,neu,neu
1862501::PA1654,Mediapart,left,left,neu,neu
1879457::PA719930,Mediapart,left,left,pos,neu
1890993::PA722142,Mediapart,left,left,pos,neu
1910730::PA842105,Mediapart,left,left,neu,neu
1927280::PA720892,Mediapart,left,left,neu,neu
1940001::PA795310,Mediapart,left,left,neu,neu
1903952::PA721210,Mediapart,left,left,neu,neu
1943807::PA841295,Mediapart,left,left,neu,neu
1946848::PA721896,Mediapart,left,left,neu,neu
1907541::PA719930,Mediapart,left,left,pos,pos
1916927::PA1654,Mediapart,left,left,neg,neu
1915608::PA795596,Mediapart,left,left,neu,neu
1948984::PA588884,Mediapart,left,left,neu,neu
1954023::PA609332,Mediapart,left,left,neu,neu
1970415::PA609332,Mediapart,left,left,pos,pos
1945444::PA609332,Mediapart,left,left,neu,neu
2222349::PA794130,Mediapart,left,left,neg,neg
2244179::PA793624,Mediapart,left,left,pos,pos
1961979::PA722142,Mediapart,left,left,neu,neg
4474306::PA791812,Mediapart,left,left,neu,neg
4388462::PA609332,Mediapart,left,left,pos,pos
1971433::PA842155,Mediapart,left,left,neu,neu
4477701::PA841729,Mediapart,left,left,pos,pos
2215959::PA722142,Mediapart,left,left,neu,neu
4563681::PA722142,Mediapart,left,left,neu,neu
4581615::PA840903,Mediapart,left,left,neu,neu
4582702::PA791812,Mediapart,left,left,neg,neg
4912202::PA795876,Mediapart,left,left,neu,neu
4927444::PA796090,Mediapart,left,left,pos,pos
1792644::PA841495,Mediapart,far_right,right_or_far_right,neg,neg
1791666::PA720614,Mediapart,far_right,right_or_far_right,neg,neu
2179651::PA795310,Mediapart,left,left,neu,neu
2184820::PA609332,Mediapart,left,left,neu,neu
2196673::PA791812,Mediapart,left,left,neg,neg
1792244::PA330240,Mediapart,right,right_or_far_right,neg,neg
1793111::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1793223::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1865711::PA330240,Mediapart,right,right_or_far_right,neg,neg
1890242::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1858040::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
1914990::PA794670,Mediapart,far_right,right_or_far_right,neg,neg
1917573::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
1931182::PA720614,Mediapart,far_right,right_or_far_right,neg,neu
1793126::PA720614,Mediapart,far_right,right_or_far_right,pos,pos
1937666::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
1950626::PA840809,Mediapart,right,right_or_far_right,neu,neu
1794470::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1890245::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1889812::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
2171390::PA267285,Mediapart,right,right_or_far_right,neu,neu
1961976::PA267285,Mediapart,right,right_or_far_right,neg,neg
2175819::PA267285,Mediapart,right,right_or_far_right,neg,neg
2186337::PA267285,Mediapart,right,right_or_far_right,neg,neg
1943940::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1970550::PA840809,Mediapart,right,right_or_far_right,neg,neg
1954167::PA794598,Mediapart,far_right,right_or_far_right,neg,neg
2206678::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1943806::PA795912,Mediapart,far_right,right_or_far_right,neu,neg
2192969::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
2212490::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
2192626::PA330008,Mediapart,right,right_or_far_right,neu,neu
2204590::PA720822,Mediapart,far_right,right_or_far_right,neg,neg
2197388::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
2216646::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
2221499::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
2237031::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
2174026::PA267285,Mediapart,right,right_or_far_right,neg,neg
2207289::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
4567300::PA841207,Mediapart,right,right_or_far_right,neg,neg
1708772::PA842155,Libération,left,left,neu,neu
1761855::PA795318,Libération,left,left,neg,neg
1769562::PA795746,Libération,left,left,neu,neu
1771693::PA795318,Libération,left,left,neu,neu
1785423::PA795318,Libération,left,left,neg,neg
1688275::PA793464,Libération,left,left,pos,pos
2284182::PA588884,Libération,left,left,neu,neu
4784616::PA720614,Mediapart,far_right,right_or_far_right,neg,neg
1698780::PA610968,Libération,left,left,neu,neu
2312346::PA793708,Libération,left,left,pos,neu
2544550::PA609332,Libération,left,left,neg,neg
2317466::PA722150,Libération,left,left,neg,neg
2315793::PA793444,Libération,left,left,neu,neu
1717542::PA609332,Libération,left,left,neg,neg
2619253::PA720892,Libération,left,left,neu,neu
2587610::PA1654,Libération,left,left,pos,neu
2544428::PA609332,Libération,left,left,neg,neg
2567425::PA719930,Libération,left,left,pos,pos
2623862::PA722142,Libération,left,left,neu,neu
4578493::PA267285,Mediapart,right,right_or_far_right,neg,neg
2666578::PA609332,Libération,left,left,neg,neg
2653313::PA826635,Libération,left,left,neu,neu
2623947::PA721210,Libération,left,left,neu,neu
2721945::PA793772,Libération,left,left,neg,neg
2724799::PA841023,Libération,left,left,neu,neu
2646995::PA609332,Libération,left,left,neu,neu
2736137::PA1654,Libération,left,left,neg,neg
2731210::PA609332,Libération,left,left,neu,neu
2919435::PA719930,Libération,left,left,neu,neu
2943485::PA793872,Libération,left,left,neg,neg
2686446::PA609332,Libération,left,left,neu,neu
2917605::PA609332,Libération,left,left,neu,neu
2972354::PA722142,Libération,left,left,pos,pos
2720645::PA720892,Libération,left,left,neu,neu
4653952::PA722142,Libération,left,left,pos,pos
4680381::PA721210,Libération,left,left,neu,neu
2896894::PA795982,Libération,left,left,neu,neu
4510895::PA609332,Libération,left,left,neu,neu
1673978::PA720614,Libération,far_right,right_or_far_right,neg,neg
1770546::PA267285,Libération,right,right_or_far_right,neg,neg
1734173::PA720614,Libération,far_right,right_or_far_right,neu,neu
1769563::PA267285,Libération,right,right_or_far_right,neg,neu
4650467::PA722142,Libération,left,left,neu,neu
4598303::PA1654,Libération,left,left,neg,neg
1672709::PA720614,Libération,far_right,right_or_far_right,pos,pos
2272656::PA720468,Libération,far_right,right_or_far_right,neu,neu
1777215::PA267285,Libération,right,right_or_far_right,neu,neu
2530044::PA720614,Libération,far_right,right_or_far_right,neu,neu
2357575::PA720614,Libération,far_right,right_or_far_right,neg,neg
2548157::PA720614,Libération,far_right,right_or_far_right,neg,neg
1784210::PA330240,Libération,right,right_or_far_right,neu,neu
2549406::PA720614,Libération,far_right,right_or_far_right,neg,neg
2549719::PA720614,Libération,far_right,right_or_far_right,neg,neg
2550117::PA720614,Libération,far_right,right_or_far_right,neg,neg
4671204::PA722142,Libération,left,left,neg,neg
2355263::PA330240,Libération,right,right_or_far_right,neg,neg
2556262::PA720614,Libération,far_right,right_or_far_right,neg,neg
2556758::PA720614,Libération,far_right,right_or_far_right,neg,neg
2548015::PA720614,Libération,far_right,right_or_far_right,pos,pos
2564455::PA720614,Libération,far_right,right_or_far_right,neg,neg
2549486::PA720614,Libération,far_right,right_or_far_right,neg,neg
2627482::PA720614,Libération,far_right,right_or_far_right,neg,neu
2635378::PA267285,Libération,right,right_or_far_right,neu,neu
2608533::PA720614,Libération,far_right,right_or_far_right,neg,neg
2561895::PA720614,Libération,far_right,right_or_far_right,neg,neg
2692624::PA720614,Libération,far_right,right_or_far_right,neg,neg
2673474::PA267285,Libération,right,right_or_far_right,neg,neg
2675121::PA720468,Libération,far_right,right_or_far_right,neu,neu
2718036::PA330240,Libération,right,right_or_far_right,neg,neg
2918254::PA720614,Libération,far_right,right_or_far_right,neu,neu
2730964::PA720614,Libération,far_right,right_or_far_right,neg,neg
2977687::PA720614,Libération,far_right,right_or_far_right,neg,neg
2627581::PA267285,Libération,right,right_or_far_right,pos,pos
2898371::PA720614,Libération,far_right,right_or_far_right,neu,neu
4504908::PA330240,Libération,right,right_or_far_right,neg,neg
4651209::PA841207,Libération,right,right_or_far_right,neg,neg
1181095::PA1654,Le HuffPost,left,left,neu,neu
1083271::PA794130,Le HuffPost,left,left,neg,neg
4920976::PA720614,Libération,far_right,right_or_far_right,neu,pos
1181024::PA609332,Le HuffPost,left,left,neg,neg
2979647::PA267285,Libération,right,right_or_far_right,neg,neg
1181350::PA1654,Le HuffPost,left,left,neu,pos
2574679::PA720614,Libération,far_right,right_or_far_right,neu,neu
1051102::PA721210,Le HuffPost,left,left,neu,neu
1181513::PA609332,Le HuffPost,left,left,neg,neu
1181145::PA609332,Le HuffPost,left,left,neu,neu
1082405::PA722142,Le HuffPost,left,left,pos,pos
1182301::PA1654,Le HuffPost,left,left,neg,neg
1182111::PA609332,Le HuffPost,left,left,neg,neg
1181664::PA721202,Le HuffPost,left,left,neu,neu
1181574::PA609332,Le HuffPost,left,left,pos,pos
1182326::PA720892,Le HuffPost,left,left,neg,neg
1182290::PA609332,Le HuffPost,left,left,neu,neu
1182440::PA1654,Le HuffPost,left,left,neu,neu
1183820::PA1654,Le HuffPost,left,left,neu,neu
1182974::PA826635,Le HuffPost,left,left,neg,neg
1605660::PA793872,Le HuffPost,left,left,neg,neg
2010532::PA793464,Le HuffPost,left,left,neg,neg
1183297::PA609332,Le HuffPost,left,left,neg,neu
2014333::PA1654,Le HuffPost,left,left,neu,neu
3496888::PA609332,Le HuffPost,left,left,neu,neu
2010488::PA721202,Le HuffPost,left,left,pos,pos
3496911::PA793464,Le HuffPost,left,left,neu,neu
2016286::PA1654,Le HuffPost,left,left,neu,neu
2291978::PA722142,Libération,left,left,neg,neg
574550::PA720614,L'Humanité,far_right,right_or_far_right,neu,neu
1890239::PA720614,Mediapart,far_right,right_or_far_right,neu,neu
1182050::PA2940,Le HuffPost,left,left,neg,neg
1182111::PA719930,Le HuffPost,left,left,neg,neg
4476406::PA721896,Mediapart,left,left,neu,neu
1182439::PA1654,Le HuffPost,left,left,neu,neu
1183002::PA721202,Le HuffPost,left,left,neu,neu
1183849::PA609332,Le HuffPost,left,left,neg,neg
1786021::PA841207,Libération,right,right_or_far_right,neg,neg
1633113::PA796090,Le HuffPost,left,left,neg,neg
4563614::PA791812,Le HuffPost,left,left,neg,neg
2291144::PA720614,Libération,far_right,right_or_far_right,neu,neu
4555807::PA842105,Le HuffPost,left,left,neu,neu
921757::PA609332,Le HuffPost,left,left,neu,neu
4556293::PA793444,Le HuffPost,left,left,neu,neu
1050963::PA720614,Le HuffPost,far_right,right_or_far_right,neg,neg
4569945::PA791812,Le HuffPost,left,left,neg,neg
951167::PA1654,Le HuffPost,left,left,neu,neu
2016472::PA1567,Le HuffPost,left,left,neg,neg
1130930::PA330240,Le HuffPost,right,right_or_far_right,neg,neg
1130986::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
1131032::PA330240,Le HuffPost,right,right_or_far_right,neg,neg
1181085::PA793166,Le HuffPost,far_right,right_or_far_right,neg,neg
1181349::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
1050950::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
1181700::PA267285,Le HuffPost,right,right_or_far_right,neg,neu
1181870::PA267285,Le HuffPost,right,right_or_far_right,neg,neg
1182065::PA267285,Le HuffPost,right,right_or_far_right,neu,neu
1181895::PA267285,Le HuffPost,right,right_or_far_right,pos,pos
1182481::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
1181893::PA720614,Le HuffPost,far_right,right_or_far_right,neg,neg
1182532::PA720614,Le HuffPost,far_right,right_or_far_right,neg,neg
1181444::PA330240,Le HuffPost,right,right_or_far_right,neg,neg
1182310::PA795552,Le HuffPost,far_right,right_or_far_right,neu,neu
1182575::PA842279,Le HuffPost,far_right,right_or_far_right,neu,neu
1182267::PA267285,Le HuffPost,right,right_or_far_right,neu,neu
1181980::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neg
1183468::PA330240,Le HuffPost,right,right_or_far_right,neu,neu
1626990::PA368,Le HuffPost,right,right_or_far_right,neg,neg
1182515::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
2010774::PA267285,Le HuffPost,right,right_or_far_right,neu,neu
3898503::PA720614,Le HuffPost,far_right,right_or_far_right,neg,neg
4560345::PA841207,Le HuffPost,right,right_or_far_right,neu,neu
4559671::PA841207,Le HuffPost,right,right_or_far_right,pos,pos
4561595::PA330240,Le HuffPost,right,right_or_far_right,neu,neu
1183155::PA720614,Le HuffPost,far_right,right_or_far_right,neg,neg
4909530::PA267285,Le HuffPost,right,right_or_far_right,neg,neg
921728::PA346782,Le HuffPost,right,right_or_far_right,neu,neu
4560658::PA841207,Le HuffPost,right,right_or_far_right,neu,neu
1658970::PA1654,Le Nouvel Obs,left,left,neu,neu
1663770::PA795076,Le Nouvel Obs,left,left,neu,neu
1661712::PA793464,Le Nouvel Obs,left,left,neg,neg
1666324::PA609332,Le Nouvel Obs,left,left,neu,neu
1667657::PA842155,Le Nouvel Obs,left,left,neu,neu
1664077::PA719930,Le Nouvel Obs,left,left,neu,neu
4565873::PA720614,Le HuffPost,far_right,right_or_far_right,neu,neu
921731::PA267285,Le HuffPost,right,right_or_far_right,pos,pos
1673107::PA719930,Le Nouvel Obs,left,left,pos,pos
1675065::PA722142,Le Nouvel Obs,left,left,neu,pos
1676699::PA609332,Le Nouvel Obs,left,left,neu,neu
1685206::PA609332,Le Nouvel Obs,left,left,neg,neg
1691754::PA796090,Le Nouvel Obs,left,left,neg,neg
1694207::PA794022,Le Nouvel Obs,left,left,neu,neu
1673319::PA609332,Le Nouvel Obs,left,left,pos,pos
1658620::PA793444,Le Nouvel Obs,left,left,neg,neg
1737228::PA793394,Le Nouvel Obs,left,left,neu,neu
1682178::PA841327,Le Nouvel Obs,left,left,neu,neu
1740481::PA721202,Le Nouvel Obs,left,left,neg,neg
1747936::PA720892,Le Nouvel Obs,left,left,neu,neu
1740485::PA795466,Le Nouvel Obs,left,left,neu,pos
1749232::PA1654,Le Nouvel Obs,left,left,neg,neg
1747454::PA609332,Le Nouvel Obs,left,left,neu,neu
1673862::PA609332,Le Nouvel Obs,left,left,pos,pos
1739829::PA722142,Le Nouvel Obs,left,left,neg,neg
1784977::PA719930,Le Nouvel Obs,left,left,neu,neu
1786069::PA842105,Le Nouvel Obs,left,left,neg,neg
1741711::PA609332,Le Nouvel Obs,left,left,neu,neu
3491754::PA793464,Le Nouvel Obs,left,left,neg,neg
1749503::PA609332,Le Nouvel Obs,left,left,neg,neg
1786048::PA842105,Le Nouvel Obs,left,left,neu,neu
1782787::PA719930,Le Nouvel Obs,left,left,neu,neu
4473596::PA791812,Le Nouvel Obs,left,left,neu,neu
2729987::PA795076,Le Nouvel Obs,left,left,neu,neu
4579898::PA722142,Le Nouvel Obs,left,left,neg,neg
1657881::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1749698::PA609332,Le Nouvel Obs,left,left,neu,neu
4570695::PA842105,Le Nouvel Obs,left,left,neu,pos
4474369::PA722142,Le Nouvel Obs,left,left,neu,pos
4583358::PA722142,Le Nouvel Obs,left,left,neu,neu
1664639::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neg
1665829::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1657944::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1661906::PA267285,Le Nouvel Obs,right,right_or_far_right,neu,neu
1666124::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1666048::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1666222::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1666716::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1667044::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1669970::PA267285,Le Nouvel Obs,right,right_or_far_right,neu,neu
1676029::PA330240,Le Nouvel Obs,right,right_or_far_right,neg,neg
1678260::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1662586::PA720614,Le Nouvel Obs,far_right,right_or_far_right,pos,pos
1671381::PA267285,Le Nouvel Obs,right,right_or_far_right,neg,neg
1666673::PA267285,Le Nouvel Obs,right,right_or_far_right,neg,neg
1688154::PA330240,Le Nouvel Obs,right,right_or_far_right,neg,neg
1667112::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1690261::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1738109::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1741547::PA643089,Le Nouvel Obs,right,right_or_far_right,pos,pos
1685207::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
1739355::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1748055::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1746492::PA267285,Le Nouvel Obs,right,right_or_far_right,neu,neu
4474844::PA720468,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
4572291::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neu,neu
1741002::PA608416,Le Nouvel Obs,right,right_or_far_right,neg,neu
1011::PA722142,Le Monde,left,left,pos,pos
11152::PA609332,Le Monde,left,left,neu,neu
1747450::PA720614,Le Nouvel Obs,far_right,right_or_far_right,neg,neg
4474327::PA330240,Le Nouvel Obs,right,right_or_far_right,neg,neg
17886::PA721202,Le Monde,left,left,neu,neu
14154::PA2940,Le Monde,left,left,neg,neu
15503::PA721202,Le Monde,left,left,neu,neu
182767::PA793464,Le Monde,left,left,neu,neg
14537::PA721210,Le Monde,left,left,neu,neu
4924933::PA330240,Le Nouvel Obs,right,right_or_far_right,neu,neu
1890679::PA793464,Le Monde,left,left,neg,neu
1888692::PA842105,Le Monde,left,left,neu,neu
13850::PA609332,Le Monde,left,left,neg,neg
18037::PA795318,Le Monde,left,left,neg,neg
1884277::PA609332,Le Monde,left,left,neu,neu
2499::PA609332,Le Monde,left,left,neu,neu
258224::PA722142,Le Monde,left,left,neu,neu
32249::PA721202,Le Monde,left,left,pos,pos
182731::PA609332,Le Monde,left,left,neg,neg
19532::PA795318,Le Monde,left,left,neu,neu
190279::PA795310,Le Monde,left,left,pos,pos
4584543::PA719930,Le Monde,left,left,neu,neu
2561071::PA719930,Le Monde,left,left,neu,neu
4612121::PA720892,Le Monde,left,left,neu,neu
4638899::PA721210,Le Monde,left,left,neu,neu
4997574::PA335999,Le Monde,left,left,pos,pos
4579850::PA793756,Le Monde,left,left,neu,neu
4601963::PA1567,Le Monde,left,left,neu,neu
520862::PA609332,Le Monde,left,left,neu,neu
522699::PA609332,Le Monde,left,left,neu,neu
2562359::PA609332,Le Monde,left,left,neg,neg
523023::PA722150,Le Monde,left,left,neu,neu
4599425::PA609332,Le Monde,left,left,neu,neu
9069::PA609332,Le Monde,left,left,pos,pos
523925::PA609332,Le Monde,left,left,neg,neg
522181::PA795228,Le Monde,left,left,neu,pos
8857::PA719930,Le Monde,left,left,neu,neu
11218::PA267285,Le Monde,right,right_or_far_right,neg,neg
6881::PA609332,Le Monde,left,left,neg,neg
5931::PA609332,Le Monde,left,left,neu,neu
12949::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
10598::PA793432,Le Monde,far_right,right_or_far_right,neg,neg
9367::PA722142,Le Monde,left,left,neu,neu
13321::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
13255::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
1634391::PA720614,Le Monde,far_right,right_or_far_right,pos,pos
14631::PA720614,Le Monde,far_right,right_or_far_right,neu,neg
93327::PA609332,Le Monde,left,left,neg,neg
13344::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
1887941::PA720614,Le Monde,far_right,right_or_far_right,neu,neg
1888706::PA793382,Le Monde,far_right,right_or_far_right,neg,neg
1884445::PA720614,Le Monde,far_right,right_or_far_right,pos,pos
12764::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
17777::PA267285,Le Monde,right,right_or_far_right,neu,neu
2533203::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
23861::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
257145::PA720614,Le Monde,far_right,right_or_far_right,neu,neu
1887943::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
1887892::PA720614,Le Monde,far_right,right_or_far_right,neg,neu
2573431::PA841207,Le Monde,right,right_or_far_right,neg,neg
189880::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
2542725::PA720614,Le Monde,far_right,right_or_far_right,neg,neu
27710::PA267285,Le Monde,right,right_or_far_right,neu,neu
2548196::PA720614,Le Monde,far_right,right_or_far_right,neu,neu
259852::PA795552,Le Monde,far_right,right_or_far_right,neg,neg
2533203::PA330240,Le Monde,right,right_or_far_right,neg,neg
607844::PA368,Le Monde,right,right_or_far_right,neu,neu
260638::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
519946::PA720614,Le Monde,far_right,right_or_far_right,neg,neu
67582::PA720614,Le Monde,far_right,right_or_far_right,neg,neg
8937::PA720614,Le Monde,far_right,right_or_far_right,neu,neu
1667147::PA722150,Marianne,left,left,neu,neu
470581::PA267285,Le Monde,right,right_or_far_right,neu,neu
1668698::PA795318,Marianne,left,left,neg,neg
1668921::PA795318,Marianne,left,left,neg,neg
1669254::PA795318,Marianne,left,left,neg,neg
1670062::PA722142,Marianne,left,left,neu,neu
1672487::PA795318,Marianne,left,left,neg,neg
9134::PA330240,Le Monde,right,right_or_far_right,neu,neu
1671675::PA721202,Marianne,left,left,neu,neu
518524::PA794598,Le Monde,far_right,right_or_far_right,neg,neg
1673673::PA722142,Marianne,left,left,pos,pos
1678752::PA796090,Marianne,left,left,neg,neg
1680160::PA793464,Marianne,left,left,neg,neg
1670163::PA609332,Marianne,left,left,neu,neu
1670187::PA1654,Marianne,left,left,neg,neg
1675030::PA795076,Marianne,left,left,neg,neg
1676205::PA721960,Marianne,left,left,neg,neu
1688790::PA793262,Marianne,left,left,neu,neu
1688611::PA1654,Marianne,left,left,neg,neg
1729103::PA1654,Marianne,left,left,neu,pos
1730809::PA722142,Marianne,left,left,neg,neg
1690376::PA793872,Marianne,left,left,neg,neg
1691327::PA795596,Marianne,left,left,neg,neg
1729609::PA609332,Marianne,left,left,neg,neg
1732857::PA1654,Marianne,left,left,neg,neu
1734130::PA1654,Marianne,left,left,neg,neg
1678570::PA795466,Marianne,left,left,neu,neu
1739677::PA722142,Marianne,left,left,neu,neu
1738911::PA721202,Marianne,left,left,neg,neg
1738943::PA795076,Marianne,left,left,neu,neu
1784422::PA795746,Marianne,left,left,neu,neu
1782836::PA1654,Marianne,left,left,neg,neg
1739427::PA608264,Marianne,left,left,neu,neu
1784592::PA722142,Marianne,left,left,neg,neg
4558339::PA719930,Marianne,left,left,pos,pos
4558749::PA609332,Marianne,left,left,neu,neu
1782623::PA791812,Marianne,left,left,neu,neu
4558113::PA722142,Marianne,left,left,neu,neu
4559505::PA722142,Marianne,left,left,neg,neu
1780719::PA722142,Marianne,left,left,neu,pos
