article_id,frame_conflict_gpt_oss,frame_human_interest_gpt_oss,frame_economic_gpt_oss,frame_morality_gpt_oss,frame_responsibility_gpt_oss,frame_conflict_mistral,frame_human_interest_mistral,frame_economic_mistral,frame_morality_mistral,frame_responsibility_mistral,frame_conflict_llama,frame_human_interest_llama,frame_economic_llama,frame_morality_llama,frame_responsibility_llama,dominant_gpt_oss,dominant_mistral,dominant_llama
10154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
10183,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
101886,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,responsibility,conflict,conflict
101963,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
102221,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,none,conflict,conflict
102231,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,conflict,conflict,conflict
102255,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,responsibility,conflict,conflict
102315,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,conflict
10233,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
10251,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,morality,responsibility,morality
102513,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
102666,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,morality,morality,none
102878,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,none,conflict,conflict
103120,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,conflict,morality,conflict
103140,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
103383,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,conflict,responsibility,responsibility
103410,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,conflict,conflict,conflict
103434,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
103523,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,conflict,conflict,conflict
1036242,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,none,responsibility,conflict
1036271,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
1036357,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1036371,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
103702,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,conflict,conflict,conflict
103822,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1039687,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,human_interest,responsibility,human_interest
1040676,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
104072,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,none,conflict
104120,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
104233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
104299,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,none,responsibility,conflict
104383,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
104491,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,responsibility,responsibility,human_interest
1045153,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1045174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1045450,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1045704,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,human_interest,responsibility,responsibility
1045947,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
104633,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1046534,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
104687,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1048051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
10489,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,none,human_interest
104899,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1049206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
104979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1050546,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1050670,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1050872,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1050899,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,none,responsibility,none
1050904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1050908,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1050927,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,conflict,conflict,conflict
1050945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,responsibility,none,responsibility
1050950,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,conflict,human_interest,conflict
1050963,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1050969,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,none,conflict,conflict
1050970,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,none,conflict
1050980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,none,responsibility
1050991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,none,conflict
1050998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conflict,none,none
1050999,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,responsibility,responsibility,conflict
1051004,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,none,conflict,conflict
1051005,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,human_interest,conflict,human_interest
1051007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1051010,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,none,conflict,conflict
1051012,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,none,morality,conflict
1051013,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1051014,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1051016,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,conflict
1051019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1051021,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,human_interest,human_interest,human_interest
1051023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,conflict,none,conflict
1051028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,human_interest,none,responsibility
1051096,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,none,conflict,human_interest
1051102,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1051251,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
1051259,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
1051300,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,conflict,conflict,conflict
1051307,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,human_interest,human_interest,conflict
1051357,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,conflict,none,responsibility
1051415,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,conflict
1051487,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,conflict,none,conflict
1051488,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,conflict,conflict,conflict
1051493,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1051504,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,conflict,conflict,responsibility
1051554,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,conflict,conflict,conflict
1051568,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1051571,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,conflict,responsibility,conflict
1051595,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,human_interest,responsibility,conflict
1051602,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1051636,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1051642,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1051646,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1051647,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,conflict
1051648,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
1051717,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,conflict,responsibility,responsibility
1051724,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,none,morality,conflict
1051725,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,none,responsibility,conflict
1051734,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,none,responsibility,conflict
105174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1051755,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1051758,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1051778,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1052002,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1053912,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,none,none,economic
10540,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
105884,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
10598,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
105996,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,responsibility,responsibility,human_interest
1061975,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,human_interest,none,human_interest
10626,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,conflict,none,conflict
1063869,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1064192,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,conflict,economic,conflict
1064372,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,responsibility
1064663,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,conflict,responsibility,responsibility
1064833,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,morality,conflict,conflict
1064841,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1064843,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
10650,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,conflict,conflict,conflict
1065051,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1065165,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,conflict
1065518,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,none,responsibility,conflict
1065943,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1065985,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,economic,economic
1066065,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1066073,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
10665,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1067267,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1067279,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,conflict,conflict,conflict
1067321,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,morality,morality,conflict
1067335,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
1067372,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,economic,conflict,conflict
1067395,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,human_interest,none,human_interest
1067630,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
10677,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,conflict,conflict,conflict
1067870,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,economic,economic
1067921,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1067960,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1068005,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1068127,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,conflict,responsibility,conflict
1068362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
1069307,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,economic,economic,economic
1070082,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1070244,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1070646,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1070704,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1070839,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1071042,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,conflict,responsibility,conflict
1071221,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,economic,conflict,conflict
1071831,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1072806,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1072810,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,responsibility,responsibility,conflict
1072977,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
1073096,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1073126,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,economic,responsibility
1073491,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,responsibility,responsibility,conflict
1073665,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,morality,conflict,conflict
1073667,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,conflict,conflict,conflict
1074404,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,economic,conflict
1074522,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,none,economic,none
1074576,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,none,responsibility,none
1074600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1074626,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1074658,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1074875,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,conflict,conflict,conflict
1075078,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1075087,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,economic,economic,economic
1075096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1075675,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,responsibility,economic,conflict
1075738,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,conflict,conflict,conflict
1076142,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,economic,conflict
1076539,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,economic,conflict,conflict
1076550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
1076574,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,responsibility,conflict
1076747,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,responsibility,economic
1076824,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1076854,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,conflict,morality,conflict
1076865,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,conflict,conflict,conflict
1076878,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
1076935,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
1077106,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,conflict,economic,responsibility
1077141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
1077224,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,conflict,conflict,conflict
1077277,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1077430,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,economic
1077434,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1077538,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,conflict,conflict,conflict
1077555,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,economic,economic,human_interest
1077838,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,responsibility
1077855,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,responsibility,conflict,conflict
1077924,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,responsibility
1078025,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,conflict,conflict,conflict
1078074,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,economic,economic,economic
1078084,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,responsibility,economic
1078159,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,responsibility,responsibility,responsibility
1078291,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1078294,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,conflict,responsibility,conflict
1078370,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,responsibility,responsibility,responsibility
1078722,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1078769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1078773,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1078842,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,economic,economic,economic
1078911,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,conflict,economic,conflict
1078960,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,conflict,conflict,conflict
1079028,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,economic,economic
1079223,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,economic,responsibility,economic
1079251,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,economic,responsibility,conflict
1079319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,none,responsibility,responsibility
1079559,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,economic,economic,economic
1079790,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,economic,responsibility,economic
1079832,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,conflict,conflict,conflict
1079963,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,economic,economic,economic
10801,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,responsibility,conflict,conflict
108225,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1082405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1082520,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,human_interest,none,conflict
1082729,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1082739,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,conflict,responsibility,responsibility
1082825,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,responsibility,morality,responsibility
1082855,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,none,conflict,conflict
1082898,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1082926,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1082968,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,human_interest,responsibility,human_interest
1083063,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1083070,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1083117,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,responsibility,morality,responsibility
1083180,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,conflict,conflict
1083207,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1083265,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1083271,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,conflict,conflict,conflict
1083272,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,conflict,morality,morality
1083334,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,human_interest,responsibility,human_interest
1083369,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1083375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
1083381,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,human_interest,none,human_interest
10987,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,responsibility,responsibility,conflict
11015,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,responsibility,morality,responsibility
110293,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,human_interest,conflict,conflict
11042,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
110805,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,conflict,none,human_interest
11119,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
111519,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,conflict,responsibility,responsibility
11152,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
11157,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,human_interest,conflict,conflict
11218,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1128453,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1130930,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
1130934,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,responsibility,responsibility,responsibility
1130950,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1130955,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
1130986,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,human_interest,human_interest,human_interest
1131032,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
1131042,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
11338,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
11404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,none,none,human_interest
114910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
115044,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
1154076,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,conflict,conflict,conflict
115797,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,conflict,conflict,conflict
115805,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,none,conflict,conflict
115844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,none,none,human_interest
115933,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,conflict,conflict,conflict
116070,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,conflict,conflict,conflict
11614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,none
1162831,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,human_interest,none,human_interest
1162958,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,human_interest,human_interest,human_interest
1163240,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,human_interest,human_interest,human_interest
1163575,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1163879,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,conflict,responsibility,conflict
1164092,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,conflict,conflict,conflict
1164617,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,conflict,conflict,conflict
1165317,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,conflict,responsibility,conflict
1165468,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,human_interest,conflict,human_interest
