pair_id,human_role(source/patient/agent)_coder1,human_label(neg/neu/pos)_coder1,human_frame_conflict(0/1)_coder1,human_frame_human_interest(0/1)_coder1,human_frame_economic(0/1)_coder1,human_frame_morality(0/1)_coder1,human_frame_responsibility(0/1)_coder1,human_role(source/patient/agent)_coder2,human_label(neg/neu/pos)_coder2,human_frame_conflict(0/1)_coder2,human_frame_human_interest(0/1)_coder2,human_frame_economic(0/1)_coder2,human_frame_morality(0/1)_coder2,human_frame_responsibility(0/1)_coder2
2348895::PA1567,source,neu,1,0,0,1,1,source,neu,1,0,0,0,0
1693644::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,1
200485::PA267285,agent,pos,0,0,1,0,1,source,neu,0,0,1,0,1
1448355::PA267285,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1477120::PA717161,patient,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
22306::PA720614,source,neu,1,0,1,0,0,source,neu,1,0,1,0,0
2816450::PA795746,source,neu,1,0,0,0,1,source,neu,1,0,0,0,1
5022976::PA330240,agent,neg,1,0,1,1,1,agent,neg,1,0,1,0,1
132923::PA720614,agent,neu,1,0,0,0,0,source,neu,1,0,0,0,0
4631668::PA841207,patient,pos,0,1,0,1,0,patient,pos,0,1,0,0,0
4609794::PA609332,patient,neg,1,0,0,0,0,patient,neu,1,0,0,0,0
4557812::PA793444,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2618760::PA721908,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2676976::PA330240,patient,neg,1,0,0,1,1,patient,neg,1,0,0,0,0
2102014::PA721908,patient,neg,0,0,0,0,0,agent,neu,0,0,0,0,0
1788885::PA330240,patient,pos,0,0,0,0,0,agent,pos,0,0,0,0,0
2402017::PA609332,source,neu,0,0,0,0,0,source,neu,0,0,0,0,1
2349169::PA796062,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,0
4621986::PA841207,patient,pos,0,0,0,1,0,patient,pos,0,0,0,0,0
2343632::PA717379,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
170059::PA841657,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
3496844::PA791812,patient,neg,1,0,0,0,0,patient,neu,1,0,0,0,0
117994::PA720614,patient,pos,0,1,0,0,0,patient,pos,0,0,0,0,0
1883488::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
1400386::PA722142,source,neu,0,1,0,0,0,source,neu,0,1,0,0,0
1838747::PA793464,agent,pos,1,0,0,0,0,agent,pos,1,0,0,0,0
1437239::PA1654,agent,neg,0,1,0,0,0,agent,neu,0,1,0,0,0
1834147::PA841657,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
2402522::PA720614,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2353627::PA1654,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
1874899::PA795050,source,neu,0,0,1,0,1,source,neu,0,0,1,0,0
4477335::PA609332,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
2018225::PA842105,agent,neg,0,1,0,0,1,patient,neg,0,1,0,0,0
3833215::PA346782,agent,pos,0,0,1,0,0,agent,neu,0,0,0,0,0
1184082::PA795318,agent,neu,1,0,0,0,0,source,neu,1,0,0,0,0
3716662::PA720614,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
2408258::PA609332,source,neu,0,0,0,0,0,source,neu,0,0,0,0,1
1712077::PA1654,source,neu,1,0,0,0,1,source,neu,1,0,1,0,1
1961976::PA267285,patient,neg,0,0,1,1,1,patient,neg,0,0,1,1,0
1182046::PA721908,agent,pos,1,0,0,0,0,source,neu,1,0,0,0,0
1541193::PA1654,patient,neu,0,1,1,0,0,patient,neu,0,1,1,0,0
1051357::PA795076,patient,neg,0,0,0,0,1,patient,neg,0,0,0,1,1
2898472::PA722190,source,neu,1,0,1,0,1,source,neu,1,0,0,0,0
1051019::PA720614,patient,neg,0,0,0,0,0,agent,neu,0,0,0,0,0
312502::PA795318,patient,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
1665078::PA267285,agent,neu,1,0,0,0,0,agent,neg,1,0,0,0,0
2010346::PA794598,agent,neg,1,0,0,0,1,agent,neg,1,0,0,0,0
1670818::PA721202,agent,neu,1,0,1,0,1,agent,neu,1,0,1,0,0
3619202::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
13433::PA609332,source,neu,0,0,0,1,1,source,neu,1,0,1,1,1
240205::PA722190,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
1656225::PA330240,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
594899::PA720614,patient,neu,1,0,0,0,0,patient,neu,1,0,0,0,0
4627610::PA720614,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1838356::PA720614,source,neu,1,0,1,0,1,source,neu,1,0,1,0,1
895884::PA330240,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2404733::PA346782,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2786920::PA793464,agent,neg,0,0,0,0,1,agent,neg,1,0,0,0,0
4648801::PA609332,patient,neg,1,1,0,0,0,patient,neu,0,1,0,0,0
1771735::PA609332,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1793223::PA720614,agent,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2531682::PA721210,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4481701::PA609332,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,0
1720768::PA330240,agent,neg,0,0,1,1,1,patient,neg,0,0,1,0,1
589629::PA795466,patient,neu,0,1,0,0,0,patient,neu,0,1,0,0,0
204201::PA717161,agent,neg,0,0,0,0,0,agent,neu,0,0,0,0,0
4660836::PA722190,agent,neu,0,1,0,0,0,agent,neu,0,1,0,0,0
1883869::PA794718,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,0
4683018::PA842155,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1620153::PA267285,source,neu,0,0,0,1,1,source,neu,0,0,0,1,1
130909::PA267285,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
1684950::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
1690997::PA721908,patient,pos,0,0,0,1,1,patient,pos,0,0,0,1,0
4920835::PA721908,source,neu,1,1,0,0,1,source,neu,1,1,0,0,0
1702066::PA793102,source,neu,0,0,0,1,0,patient,neg,0,0,0,1,0
1183933::PA720614,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
1824965::PA720614,patient,pos,0,1,0,0,0,patient,pos,0,1,0,0,0
1781577::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
896288::PA720614,source,neu,1,0,1,0,1,source,neu,1,0,1,0,1
4495542::PA1654,source,neu,1,0,0,0,1,source,neu,1,0,0,0,0
1737219::PA717161,agent,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2610828::PA795722,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
425184::PA795318,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
119561::PA722190,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
574567::PA722190,agent,neg,0,0,0,1,0,agent,neg,0,0,0,1,0
4605071::PA721908,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
4565071::PA841207,agent,neg,1,0,0,1,1,agent,neg,0,0,0,1,1
595639::PA796062,agent,neg,0,0,0,0,0,agent,neg,1,0,0,0,0
1784906::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
94515::PA720892,agent,neu,0,0,0,1,1,agent,neu,0,0,0,0,0
136644::PA794130,patient,neg,1,0,1,1,1,patient,neg,1,0,0,1,1
4719885::PA721202,agent,pos,0,0,1,0,0,agent,neu,0,0,0,0,0
190829::PA722190,agent,pos,0,0,0,0,1,agent,pos,0,0,0,0,1
1634244::PA720614,patient,pos,0,0,0,0,0,patient,neu,0,0,0,0,0
2357471::PA717379,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
594223::PA330240,agent,pos,0,0,0,0,1,source,neu,0,0,0,0,1
2029273::PA841207,agent,pos,0,0,0,0,0,agent,pos,0,1,0,0,0
1668271::PA795318,patient,pos,1,0,1,0,1,patient,pos,1,0,0,0,0
1830037::PA720146,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
133075::PA720614,patient,neg,0,0,0,0,0,patient,neu,0,0,0,0,0
4388741::PA1654,agent,neu,1,0,1,0,0,agent,neu,1,0,1,0,0
2527446::PA720892,source,neu,0,0,0,1,0,source,neu,0,0,0,1,0
2356484::PA267285,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
4661590::PA330240,agent,pos,0,0,1,0,1,source,neu,0,0,1,0,1
1472379::PA267285,agent,neg,0,0,1,0,1,agent,neg,0,0,1,0,1
1757402::PA719930,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2403885::PA330240,source,neu,1,0,0,0,1,source,neu,1,0,0,0,0
588383::PA720092,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
2950830::PA795920,patient,neu,0,1,0,0,1,patient,neu,0,1,0,0,0
1384319::PA720614,patient,neg,0,0,0,1,0,patient,neg,0,0,0,1,1
4619459::PA791812,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
4872494::PA720614,source,neu,0,1,0,0,0,source,neu,0,1,0,0,0
4514969::PA791812,patient,pos,0,0,0,0,0,patient,pos,0,0,0,0,0
1967570::PA330240,agent,neg,0,0,0,1,1,patient,neu,0,0,0,1,0
2814954::PA267285,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
4627000::PA1654,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1714900::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1362475::PA330240,agent,neu,1,0,0,0,0,agent,neu,1,1,0,0,0
1741565::PA608416,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2010245::PA841207,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
1218081::PA795076,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
3492010::PA793464,agent,neg,0,0,0,0,0,agent,neu,0,0,0,0,0
1631248::PA719372,source,neu,0,1,1,0,1,source,neu,0,0,1,0,1
3821042::PA791812,source,neu,0,0,0,1,0,source,neu,0,0,0,0,0
574168::PA722190,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
27305::PA643089,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1739677::PA722142,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
1465976::PA720614,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
1742055::PA1654,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
1692580::PA720468,patient,neg,0,1,0,1,0,patient,neg,0,1,0,0,0
4640631::PA267285,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1722777::PA609332,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2836306::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2358075::PA346782,source,neu,0,0,0,1,1,source,neu,0,0,0,1,1
4615116::PA720614,patient,neg,0,1,0,0,0,patient,neu,0,0,0,0,0
2819944::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1730094::PA795722,agent,neg,0,1,0,1,1,agent,neg,0,1,0,0,0
5047565::PA795778,source,neu,0,1,0,1,1,source,neu,0,1,0,0,1
1975927::PA719472,agent,pos,0,0,1,0,0,agent,neu,0,0,1,0,0
1724491::PA722190,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
252427::PA721270,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
1826792::PA720614,source,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2720730::PA720614,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
534813::PA330240,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
1942445::PA1567,agent,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1668287::PA796062,agent,neg,0,0,0,1,0,agent,neg,0,0,0,1,0
181199::PA720614,patient,neu,0,0,0,1,0,patient,neu,0,0,0,0,0
1236353::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
4717812::PA1567,patient,neg,1,0,0,1,1,patient,neg,1,0,0,1,1
895592::PA794718,patient,neg,1,0,1,1,1,patient,neg,1,0,0,1,1
1695493::PA330240,agent,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2772316::PA717161,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4567601::PA330240,agent,neg,0,0,0,0,1,agent,neg,0,0,0,0,1
1809377::PA720614,patient,pos,0,0,0,1,0,patient,pos,0,0,0,0,0
2798964::PA793444,source,neu,1,0,0,0,1,agent,neg,1,0,0,0,0
1937291::PA793444,agent,neu,1,0,0,1,1,patient,neu,1,0,0,0,0
1347958::PA609332,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2345825::PA722142,patient,neg,1,0,0,1,0,source,neu,1,0,0,1,0
1831817::PA793444,source,neu,0,1,0,0,1,source,neu,0,1,0,0,1
103434::PA793624,source,neu,0,0,0,0,0,source,neu,0,0,0,0,1
24859::PA841067,agent,neg,0,1,0,0,0,agent,neg,0,1,0,0,0
4558277::PA721270,agent,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2355972::PA720468,source,neu,1,0,0,1,0,source,neu,1,0,0,0,0
894994::PA722190,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
2572583::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,0
2401746::PA794598,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1694601::PA720468,patient,pos,0,0,0,0,0,patient,neu,0,0,0,0,0
896555::PA1654,source,neu,1,0,0,0,1,source,neu,1,0,0,0,0
1729557::PA841067,agent,neg,0,0,0,1,1,patient,neg,0,0,0,1,0
4574452::PA721764,agent,neu,0,0,0,0,1,agent,neu,0,0,0,0,0
2612708::PA795540,patient,neg,0,0,1,1,1,patient,neg,0,0,0,1,1
1789877::PA793444,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
1800098::PA610968,source,neu,0,0,0,1,0,source,neu,0,0,0,1,0
4605792::PA643175,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1900831::PA795540,patient,neg,0,0,0,1,1,patient,neg,0,0,0,1,1
1237606::PA794354,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
199405::PA721908,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4870769::PA719930,agent,neu,1,0,0,0,0,agent,neu,0,0,0,0,0
1624952::PA1654,patient,neu,0,1,0,0,0,patient,neu,0,1,0,0,0
1696198::PA722190,agent,neu,1,0,0,0,0,agent,neu,0,0,0,0,0
1798970::PA793398,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2029602::PA841207,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
1723919::PA330240,source,neu,0,0,0,1,1,source,neu,0,0,0,1,1
1385071::PA330240,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
4684251::PA841207,agent,pos,0,0,0,0,0,agent,pos,0,0,0,0,1
3240065::PA720614,source,neu,1,1,0,1,0,source,neu,1,1,0,1,0
1667923::PA795982,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
2526046::PA795076,agent,neu,1,0,1,0,1,source,neu,1,0,1,0,1
3119526::PA608416,agent,pos,0,0,1,0,1,source,neu,0,0,1,0,1
2601695::PA330240,patient,pos,0,0,0,1,0,patient,pos,0,0,0,1,1
1233671::PA717161,patient,neu,0,0,1,0,1,patient,neu,0,0,1,0,1
4391419::PA791812,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
896440::PA717161,agent,neg,1,0,0,0,0,agent,neg,1,0,0,0,0
3119847::PA267285,agent,neu,0,0,0,0,1,agent,neu,0,0,0,0,0
2787684::PA267285,agent,neu,0,0,0,0,0,patient,neu,0,0,0,0,0
2645968::PA609332,source,neu,0,0,0,1,1,source,neu,0,0,0,1,0
4563275::PA609332,source,neu,1,0,0,1,1,source,neu,0,0,0,1,1
1766150::PA722190,agent,neu,0,0,0,0,1,agent,neu,0,0,0,0,1
253546::PA796018,agent,pos,0,0,0,1,0,patient,pos,0,0,0,1,0
1236668::PA719914,source,neu,0,0,0,0,1,source,neu,0,0,1,0,1
4516055::PA720614,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
1726376::PA643184,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
3497855::PA795616,agent,neg,0,0,1,1,1,patient,neg,0,0,0,1,1
518521::PA722190,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
2819836::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
201678::PA267285,agent,neg,0,1,0,0,0,agent,neg,0,0,0,0,0
1944768::PA841207,patient,neg,1,0,0,0,0,patient,neu,1,0,0,0,0
9341::PA722190,agent,neg,1,0,0,1,0,agent,neg,1,0,0,1,0
2358120::PA721908,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
2356447::PA793624,agent,neu,0,0,0,0,0,source,neu,0,0,0,0,0
589516::PA267285,agent,neu,1,0,0,0,0,source,neu,1,0,0,0,0
4371586::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
1756013::PA721908,source,neu,1,0,0,0,1,source,neu,0,0,0,0,1
1486593::PA721024,agent,neu,0,1,0,0,1,agent,neu,0,0,0,0,1
895951::PA795076,source,neg,0,0,0,1,1,source,neu,0,0,0,0,1
2722563::PA721202,source,neu,0,0,0,0,1,source,neu,1,0,0,0,1
4514809::PA793432,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
475763::PA942,agent,pos,0,0,1,0,0,agent,neu,0,0,0,0,0
1516453::PA791812,patient,neg,1,0,0,1,1,patient,neg,1,0,0,0,0
1694457::PA609332,source,neu,1,0,1,0,1,source,neu,1,0,1,0,1
1777354::PA720614,agent,neu,1,0,0,0,0,patient,neu,1,0,0,0,0
1738109::PA720614,agent,neu,1,0,0,0,1,source,neu,0,0,0,0,1
894707::PA720614,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
4589808::PA720614,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
2816117::PA1654,patient,neg,0,0,1,1,1,patient,neg,0,0,0,1,1
1683411::PA588884,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1077555::PA794038,agent,pos,0,0,1,0,1,source,neu,0,0,1,0,1
114910::PA793464,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
1650402::PA795616,patient,neg,1,0,0,1,0,patient,neg,1,0,0,0,0
2405799::PA720614,patient,neg,1,0,0,0,0,patient,neu,0,0,0,0,0
1784422::PA795746,patient,neg,0,1,0,0,0,patient,neg,1,1,0,0,0
5022372::PA722142,agent,neu,0,1,0,0,0,agent,neu,0,0,0,0,0
1763803::PA795466,patient,neg,1,0,0,1,1,patient,neu,1,0,0,1,0
473505::PA722190,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4647218::PA795778,source,neu,0,1,0,1,1,source,neu,0,1,0,0,1
4879651::PA720614,agent,neu,1,0,1,0,0,agent,neu,1,0,1,0,0
896693::PA795466,patient,neu,0,1,0,1,1,patient,neu,0,1,0,0,0
1212899::PA720614,patient,neg,0,0,0,0,0,patient,neu,0,0,0,0,1
1182515::PA720614,source,neu,0,1,0,0,0,source,neu,0,1,0,0,0
4586051::PA346782,source,neu,0,0,1,0,1,source,neu,0,0,1,0,0
317605::PA267285,agent,neu,0,0,0,0,0,patient,neu,0,0,0,0,0
2837667::PA794130,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
894648::PA793134,patient,neg,0,1,0,1,0,agent,neu,0,0,0,0,0
2668777::PA720614,patient,pos,0,0,0,0,0,patient,pos,0,0,0,0,0
1212513::PA720614,patient,pos,1,0,0,0,0,patient,pos,0,0,0,0,0
1746563::PA720614,patient,neg,0,0,0,0,0,patient,neg,0,0,0,0,1
588958::PA795076,source,neg,1,0,0,1,0,source,neg,1,0,0,0,0
1662991::PA330240,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
31100::PA722142,agent,neu,0,0,0,0,0,agent,neu,0,0,0,0,0
4549940::PA722190,agent,neg,0,0,0,1,1,agent,neg,0,0,0,1,1
1672091::PA793756,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
2217146::PA722190,agent,neg,0,0,1,0,1,agent,neg,0,0,1,0,1
2799442::PA720614,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1673117::PA795076,patient,neg,1,0,0,0,0,patient,neg,1,0,0,0,0
1662746::PA721908,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
518328::PA720614,agent,neu,0,0,0,0,1,source,neu,0,0,0,0,1
1391837::PA588884,patient,neg,1,0,0,1,0,patient,neg,1,0,0,0,0
1759998::PA795228,agent,neu,0,1,0,1,1,agent,neu,0,1,0,1,0
1182772::PA720614,patient,pos,0,0,0,0,0,patient,neu,0,0,0,0,0
246257::PA721202,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
589479::PA267285,agent,neu,0,0,1,1,1,agent,neu,0,0,1,1,1
1474269::PA722190,agent,pos,0,1,0,0,1,agent,neu,0,1,0,0,1
4613077::PA346782,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
4609686::PA722190,agent,neu,0,1,0,0,0,agent,neu,0,0,0,0,0
4604219::PA841207,patient,neg,1,0,0,0,1,patient,neg,1,0,0,0,0
2802049::PA793464,agent,neg,0,1,0,0,0,agent,neg,0,0,0,0,0
2831276::PA609332,source,neu,1,0,0,0,0,source,neu,1,0,0,0,0
1484737::PA722190,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
4613181::PA841207,agent,pos,0,0,0,1,1,agent,neu,0,0,0,1,1
4767950::PA791812,patient,neg,0,0,1,1,1,patient,neg,0,0,0,1,1
2836303::PA794118,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1225209::PA720892,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
2315721::PA721024,agent,neg,0,1,0,0,0,agent,neg,0,0,0,0,0
1859710::PA717161,agent,neu,1,0,0,0,1,agent,neu,1,0,0,0,1
1786294::PA842155,patient,neu,0,1,0,1,1,patient,pos,0,1,0,1,0
2803613::PA793464,agent,neg,0,1,0,0,0,agent,neg,0,0,0,0,0
2720137::PA722142,patient,neg,1,0,0,1,1,patient,neg,1,0,0,0,0
3173::PA330240,agent,neg,1,0,0,0,0,agent,neg,1,0,0,0,0
1215070::PA722142,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
4738010::PA722190,agent,pos,0,0,0,0,0,agent,pos,0,0,0,0,0
1451667::PA795318,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
710905::PA267285,source,neu,0,0,1,0,1,source,neu,0,0,1,0,1
1949679::PA721202,source,neu,0,0,0,0,1,source,neu,0,0,0,0,1
3785269::PA330240,source,neu,1,1,0,1,0,source,neu,1,1,0,0,0
4681115::PA842105,patient,neu,0,0,0,0,0,patient,neu,0,0,0,0,0
4878697::PA330240,agent,pos,1,0,0,0,0,agent,pos,1,0,0,0,0
1050991::PA720614,source,neu,0,0,0,0,0,source,neu,0,0,0,0,0
4375226::PA795912,patient,neu,0,1,0,0,0,patient,neu,0,1,0,0,0
1742950::PA267285,patient,neg,0,0,0,0,1,patient,neg,0,0,0,0,1
4611496::PA721908,source,neu,0,0,0,1,0,source,neu,0,0,0,0,0
2554216::PA795864,patient,neg,1,0,0,0,1,source,neu,1,0,0,0,1
2670945::PA842255,agent,neg,0,0,0,1,1,patient,neg,0,0,0,1,0
1662586::PA720614,patient,neu,1,0,0,0,0,patient,neu,1,0,0,0,0
574648::PA609332,source,neu,0,0,0,1,1,source,neu,0,0,0,1,1
1809372::PA722190,agent,neu,1,0,0,0,1,agent,neu,1,0,0,0,1
1673673::PA722142,agent,pos,0,0,0,0,0,agent,neu,0,0,0,0,0
1764115::PA330240,agent,neu,0,0,0,0,1,agent,neu,0,0,0,0,1
4560138::PA722190,agent,neu,1,0,0,0,0,agent,neu,1,0,0,0,0
1762242::PA795318,patient,neg,1,0,0,0,0,agent,neg,1,0,0,0,0
1656797::PA721908,source,neu,0,0,0,1,1,source,neu,0,0,0,0,1
2721397::PA720614,source,neu,1,0,1,0,0,source,neu,1,0,1,0,0
2833924::PA841729,agent,neg,0,0,0,0,0,agent,neg,0,0,0,0,0
